STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
36,001,013604,3,2258,+42.730474,-073.727393
36,001,013703,1,2101,+42.746338,-073.825542
36,001,013706,1,2087,+42.699331,-073.761775
36,001,013707,1,2015,+42.714941,-073.775009
36,001,013707,2,1214,+42.723664,-073.781898
36,001,013707,3,1399,+42.725581,-073.766070
36,001,013707,4,1438,+42.733640,-073.777322
36,001,013708,1,1373,+42.703827,-073.788668
36,001,013708,2,2121,+42.713074,-073.795037
36,001,013709,1,1640,+42.695702,-073.772581
36,001,013709,2,1673,+42.695522,-073.782924
36,001,013802,1,2096,+42.753644,-073.846964
36,001,013802,2,911,+42.767611,-073.834600
36,001,013802,3,1480,+42.765162,-073.851339
36,001,013803,1,644,+42.751145,-073.862621
36,001,013803,2,1037,+42.759517,-073.875592
36,001,013803,3,1666,+42.757884,-073.886560
36,001,013804,1,2096,+42.742549,-073.852806
36,001,013804,2,571,+42.738947,-073.862726
36,001,013804,3,567,+42.745072,-073.867350
36,001,013804,4,663,+42.747309,-073.894900
36,001,013901,1,938,+42.710728,-073.833153
36,001,013901,2,1458,+42.718800,-073.842484
36,001,013902,1,1355,+42.730374,-073.840256
36,001,013902,2,1047,+42.725652,-073.833129
36,001,013902,3,1459,+42.719113,-073.821575
36,001,013902,4,1524,+42.723975,-073.823029
36,001,014001,1,673,+42.694636,-073.811534
36,001,014001,2,799,+42.700979,-073.817599
36,001,014001,3,1714,+42.703381,-073.807495
36,001,014001,4,1014,+42.710611,-073.815535
36,001,014002,1,747,+42.693946,-073.801575
36,001,014002,2,1654,+42.698128,-073.799225
36,001,014002,3,1092,+42.690081,-073.787041
36,001,014002,4,883,+42.690872,-073.796341
36,001,014100,1,1518,+42.665587,-073.836856
36,001,014100,2,1396,+42.655985,-073.841982
36,001,014100,3,1731,+42.632245,-073.829481
36,001,014100,4,983,+42.640108,-073.859207
36,001,014201,1,1319,+42.625788,-073.811451
36,001,014201,2,1222,+42.619369,-073.813420
36,001,014201,3,2326,+42.608475,-073.807044
36,001,014201,4,1092,+42.613767,-073.786018
36,001,014202,1,1400,+42.622292,-073.839996
36,001,014202,2,1032,+42.621041,-073.850956
36,001,014202,3,2344,+42.623310,-073.866796
36,001,014202,4,1288,+42.614326,-073.868805
36,001,014203,1,1468,+42.618435,-073.826762
36,001,014203,2,1288,+42.610457,-073.829532
36,001,014203,3,660,+42.614210,-073.836866
36,001,014203,4,1055,+42.615211,-073.844143
36,001,014203,5,1799,+42.604987,-073.841676
36,001,014301,1,889,+42.534513,-073.794915
36,001,014301,2,2116,+42.569588,-073.780461
36,001,014303,1,1509,+42.593263,-073.818192
36,001,014303,2,1654,+42.597039,-073.807010
36,001,014303,3,1711,+42.582406,-073.813167
36,001,014304,1,882,+42.535516,-073.831178
36,001,014304,2,2352,+42.576348,-073.834919
36,001,014401,1,1160,+42.488780,-073.797437
36,001,014401,2,1668,+42.487875,-073.850605
36,001,014401,3,1157,+42.494118,-073.925229
36,001,014402,1,1449,+42.469513,-073.808629
36,001,014402,2,1822,+42.475691,-073.814571
36,001,014501,1,1440,+42.636881,-073.964202
36,001,014501,2,1263,+42.649657,-073.903814
36,001,014502,1,1014,+42.585385,-073.917958
36,001,014502,2,1609,+42.585685,-073.960277
36,001,014502,3,929,+42.598950,-073.889897
36,001,014503,1,1536,+42.653033,-073.936046
36,001,014503,2,1305,+42.645962,-073.926116
36,001,014606,1,680,+42.722572,-073.943729
36,001,014606,2,879,+42.754382,-073.949097
36,001,014606,3,2266,+42.742457,-073.959991
36,001,014608,1,2174,+42.682908,-073.830430
36,001,014608,2,1840,+42.695778,-073.872380
36,001,014609,1,1067,+42.683106,-073.859270
36,001,014609,2,1838,+42.674989,-073.836869
36,001,014609,3,1924,+42.675176,-073.861923
36,001,014611,1,758,+42.672359,-073.919632
36,001,014611,2,1502,+42.711545,-073.941145
36,001,014612,1,1675,+42.704336,-074.032620
36,001,014613,1,871,+42.707864,-074.036221
36,001,014613,2,1371,+42.693577,-073.981341
36,001,014613,3,890,+42.712046,-073.988709
36,001,014614,1,1134,+42.674875,-073.891035
36,001,014614,2,967,+42.689912,-073.875427
36,001,014614,3,1666,+42.692851,-073.889167
36,001,014614,4,2000,+42.685316,-073.879475
36,001,014615,1,1571,+42.694630,-073.895779
36,001,014615,2,1188,+42.692360,-073.908707
36,001,014616,1,2493,+42.733018,-073.929041
36,001,014616,2,1165,+42.718374,-073.926828
36,001,014616,3,2556,+42.745714,-073.934514
36,001,014617,1,1252,+42.713141,-073.906308
36,001,014617,2,1121,+42.736115,-073.904692
36,001,014700,1,1103,+42.702778,-074.122088
36,001,014700,2,1532,+42.668736,-074.092246
36,001,014801,1,515,+42.583862,-074.175590
36,001,014801,2,1088,+42.599545,-074.043301
36,001,014801,3,1086,+42.617497,-074.099171
36,001,014802,1,844,+42.436756,-074.168817
36,001,014802,2,982,+42.495739,-074.158389
36,001,014803,1,1765,+42.523529,-074.047241
36,001,014803,2,1429,+42.456139,-074.035977
36,003,940200,1,7,+42.237453,-078.307620
36,003,950100,1,1036,+42.452049,-077.776529
36,003,950100,2,503,+42.453043,-077.889563
36,003,950100,3,731,+42.348792,-077.798197
36,003,950300,1,1347,+42.476808,-078.108150
36,003,950300,2,1511,+42.475379,-078.209976
36,003,950300,3,1897,+42.423681,-078.171562
36,003,950401,1,1113,+42.270602,-078.228769
36,003,950401,2,534,+42.356057,-078.278285
36,003,950402,1,441,+42.378264,-078.229970
36,003,950402,2,663,+42.300092,-078.157730
36,003,950402,3,856,+42.353022,-078.135295
36,003,950500,1,1339,+42.216948,-078.281321
36,003,950500,2,835,+42.218050,-078.272196
36,003,950500,3,890,+42.197153,-078.209181
36,003,950500,4,607,+42.149219,-078.235728
36,003,950600,1,628,+42.239273,-078.016221
36,003,950600,2,942,+42.224489,-078.033606
36,003,950600,3,1040,+42.204576,-078.134608
36,003,950600,4,1043,+42.196837,-078.064347
36,003,950700,1,1061,+42.176920,-077.961205
36,003,950700,2,1329,+42.128503,-077.951245
36,003,950700,3,1185,+42.128011,-077.930869
36,003,950800,1,906,+42.305333,-077.754241
36,003,950800,2,3172,+42.258046,-077.810188
36,003,950800,3,2058,+42.250567,-077.791608
36,003,950900,1,922,+42.185968,-077.775686
36,003,950900,2,940,+42.159801,-077.808578
36,003,950900,3,1163,+42.121141,-077.905982
36,003,950900,4,624,+42.070421,-077.784874
36,003,951000,1,1135,+42.106481,-077.933050
36,003,951000,2,1231,+42.044244,-077.845493
36,003,951000,3,750,+42.052244,-077.948226
36,003,951100,1,957,+42.125720,-078.010101
36,003,951100,2,590,+42.114514,-077.977584
36,003,951100,3,1419,+42.115843,-077.955823
36,003,951100,4,806,+42.063463,-078.056448
36,003,951201,1,843,+42.103468,-078.147503
36,003,951201,2,743,+42.067023,-078.161790
36,003,951201,3,715,+42.024248,-078.171483
36,003,951202,1,710,+42.096645,-078.262065
36,003,951202,2,1033,+42.039247,-078.263173
36,003,951202,3,732,+42.063173,-078.177982
36,003,951301,1,696,+42.365404,-078.112380
36,003,951301,2,654,+42.324517,-078.072638
36,003,951302,1,638,+42.304203,-078.018589
36,003,951302,2,786,+42.467405,-078.019580
36,003,951302,3,695,+42.353081,-077.989705
36,005,000100,0,0,+40.798169,-073.891681
36,005,000100,1,3772,+40.791709,-073.884503
36,005,000200,0,0,+40.803537,-073.860661
36,005,000200,1,1330,+40.813974,-073.860921
36,005,000200,2,2057,+40.812632,-073.861142
36,005,000200,3,1392,+40.808287,-073.856610
36,005,000400,0,0,+40.803416,-073.852225
36,005,000400,1,1047,+40.814213,-073.857271
36,005,000400,2,1433,+40.811849,-073.853792
36,005,000400,3,3095,+40.806591,-073.852936
36,005,000400,4,697,+40.813489,-073.847847
36,005,001600,1,2455,+40.820693,-073.859896
36,005,001600,2,1010,+40.816309,-073.859718
36,005,001600,3,745,+40.822603,-073.856791
36,005,001600,4,1585,+40.818429,-073.858909
36,005,001901,1,2292,+40.806572,-073.927684
36,005,001902,1,1613,+40.803773,-073.916009
36,005,001903,1,0,+40.801624,-073.909629
36,005,001903,2,2,+40.803391,-073.922647
36,005,001904,0,0,+40.798479,-073.902166
36,005,001904,1,0,+40.796343,-073.898377
36,005,001904,2,0,+40.800629,-073.898589
36,005,002001,1,2322,+40.817923,-073.868171
36,005,002001,2,1961,+40.815391,-073.867016
36,005,002001,3,724,+40.819620,-073.867872
36,005,002002,1,1465,+40.817926,-073.864305
36,005,002002,2,2011,+40.815760,-073.864122
36,005,002002,3,1108,+40.819786,-073.866003
36,005,002300,1,2690,+40.809529,-073.926788
36,005,002300,2,452,+40.809220,-073.924264
36,005,002300,3,1600,+40.808272,-073.924966
36,005,002400,0,0,+40.811146,-073.868885
36,005,002400,1,6,+40.816016,-073.870956
36,005,002500,1,1071,+40.806937,-073.918821
36,005,002500,2,1462,+40.805886,-073.919284
36,005,002500,3,1064,+40.808170,-073.921711
36,005,002500,4,964,+40.807521,-073.922187
36,005,002500,5,881,+40.806727,-073.921459
36,005,002701,1,1181,+40.804583,-073.916098
36,005,002701,2,1899,+40.805456,-073.917190
36,005,002702,1,1453,+40.806716,-073.912819
36,005,002702,2,963,+40.805158,-073.913678
36,005,002702,3,1689,+40.806886,-073.915559
36,005,002702,4,890,+40.807868,-073.914982
36,005,002800,1,1433,+40.822405,-073.878816
36,005,002800,2,1894,+40.820969,-073.874556
36,005,002800,3,1124,+40.820330,-073.879106
36,005,002800,4,1402,+40.820640,-073.877300
36,005,003100,1,2964,+40.811503,-073.905292
36,005,003300,1,840,+40.807838,-073.911073
36,005,003300,2,1325,+40.808569,-073.913204
36,005,003300,3,1524,+40.809217,-073.914764
36,005,003500,1,911,+40.810332,-073.908902
36,005,003500,2,1502,+40.812775,-073.909949
36,005,003500,3,1313,+40.812217,-073.907944
36,005,003700,1,340,+40.811457,-073.912172
36,005,003800,1,1683,+40.820293,-073.863239
36,005,003900,1,1253,+40.808001,-073.917841
36,005,003900,2,1615,+40.810262,-073.923517
36,005,003900,3,993,+40.811211,-073.925363
36,005,003900,4,1034,+40.809985,-073.919984
36,005,003900,5,1450,+40.808910,-073.920675
36,005,004001,1,1739,+40.828187,-073.858286
36,005,004100,1,1678,+40.810507,-073.916326
36,005,004100,2,1720,+40.811381,-073.919053
36,005,004100,3,123,+40.812426,-073.923901
36,005,004100,4,2625,+40.812350,-073.921978
36,005,004200,1,753,+40.824024,-073.866665
36,005,004200,2,2272,+40.822306,-073.864972
36,005,004200,3,1514,+40.824545,-073.862063
36,005,004200,4,746,+40.822669,-073.861829
36,005,004200,5,940,+40.823858,-073.860635
36,005,004200,6,0,+40.824786,-073.857382
36,005,004200,7,976,+40.824260,-073.864774
36,005,004300,1,1155,+40.814307,-073.914856
36,005,004300,2,2411,+40.813952,-073.917109
36,005,004300,3,1173,+40.811995,-073.916609
36,005,004300,4,1144,+40.812695,-073.916291
36,005,004400,1,1286,+40.826508,-073.866526
36,005,004400,2,643,+40.826586,-073.868932
36,005,004400,3,1731,+40.826999,-073.862802
36,005,004400,4,982,+40.825973,-073.870098
36,005,004600,1,1976,+40.822747,-073.869763
36,005,004800,1,1949,+40.827972,-073.874702
36,005,004800,2,2235,+40.826838,-073.875387
36,005,005001,1,1226,+40.824834,-073.879075
36,005,005001,2,1498,+40.824991,-073.877857
36,005,005001,3,1168,+40.825119,-073.876932
36,005,005001,4,1068,+40.825242,-073.876006
36,005,005002,1,2606,+40.827305,-073.878887
36,005,005002,2,1266,+40.827156,-073.880272
36,005,005002,3,1249,+40.827456,-073.877479
36,005,005002,4,1397,+40.827600,-073.876553
36,005,005100,1,374,+40.814071,-073.928900
36,005,005100,2,3664,+40.813310,-073.925111
36,005,005100,3,2421,+40.815063,-073.922594
36,005,005200,1,825,+40.825491,-073.881530
36,005,005200,2,1305,+40.827055,-073.881202
36,005,005300,1,2162,+40.851491,-073.922669
36,005,005300,2,2209,+40.853133,-073.921333
36,005,005400,1,1411,+40.830049,-073.877842
36,005,005400,2,2860,+40.829849,-073.879963
36,005,005400,3,1064,+40.829659,-073.882410
36,005,005400,4,1469,+40.830340,-073.876246
36,005,005600,1,946,+40.832676,-073.876799
36,005,005600,2,823,+40.832358,-073.879571
36,005,005600,3,1094,+40.832582,-073.880437
36,005,005902,1,897,+40.825796,-073.922444
36,005,005902,2,1680,+40.823536,-073.923789
36,005,006000,1,1259,+40.839188,-073.876418
36,005,006000,2,3,+40.837750,-073.878114
36,005,006100,1,31,+40.825217,-073.920297
36,005,006100,2,2188,+40.824177,-073.921434
36,005,006100,3,1158,+40.823484,-073.920518
36,005,006100,4,67,+40.819340,-073.926113
36,005,006200,1,1375,+40.833134,-073.875316
36,005,006200,2,1528,+40.835080,-073.877544
36,005,006200,3,1898,+40.834790,-073.875974
36,005,006200,4,1296,+40.830523,-073.875317
36,005,006200,5,672,+40.830745,-073.874414
36,005,006301,1,905,+40.826832,-073.925366
36,005,006301,2,1166,+40.825905,-073.926120
36,005,006301,3,1114,+40.824570,-073.927222
36,005,006301,4,1976,+40.823509,-073.926558
36,005,006301,5,701,+40.818117,-073.930103
36,005,006301,6,705,+40.820291,-073.928152
36,005,006302,1,19,+40.829537,-073.926493
36,005,006400,1,1840,+40.831968,-073.871331
36,005,006400,2,746,+40.833343,-073.872027
36,005,006400,3,591,+40.833194,-073.872953
36,005,006400,4,1009,+40.835163,-073.872232
36,005,006500,1,1237,+40.815945,-073.920928
36,005,006500,2,3435,+40.819263,-073.922860
36,005,006500,3,853,+40.818007,-073.920678
36,005,006500,4,726,+40.817350,-073.919841
36,005,006700,1,1180,+40.818957,-073.915435
36,005,006700,2,1046,+40.818918,-073.918439
36,005,006700,3,1024,+40.820843,-073.920319
36,005,006700,4,1762,+40.820525,-073.918882
36,005,006700,5,783,+40.818100,-073.917845
36,005,006700,6,1098,+40.819743,-073.917122
36,005,006800,1,1331,+40.830224,-073.869371
36,005,006800,2,718,+40.828070,-073.871811
36,005,006800,3,1370,+40.828235,-073.870392
36,005,006900,1,2752,+40.821311,-073.913960
36,005,006900,2,1896,+40.822750,-073.916389
36,005,006900,3,1340,+40.821959,-073.918573
36,005,006900,4,976,+40.822663,-073.917921
36,005,007000,1,2663,+40.828868,-073.865661
36,005,007000,2,974,+40.830719,-073.867030
36,005,007000,3,1384,+40.831190,-073.864770
36,005,007100,1,851,+40.820468,-073.910963
36,005,007100,2,1938,+40.819182,-073.912074
36,005,007200,1,2021,+40.830614,-073.859994
36,005,007200,2,2263,+40.830712,-073.862456
36,005,007200,3,1044,+40.832144,-073.859719
36,005,007200,4,963,+40.831231,-073.858984
36,005,007300,1,1521,+40.814598,-073.907423
36,005,007300,2,1181,+40.814624,-073.909075
36,005,007300,3,1503,+40.814779,-073.910443
36,005,007400,1,1189,+40.817334,-073.852355
36,005,007400,2,1261,+40.821240,-073.853280
36,005,007400,3,1086,+40.819467,-073.852856
36,005,007500,1,1756,+40.817466,-073.910234
36,005,007500,2,3166,+40.820265,-073.908645
36,005,007500,3,985,+40.817219,-073.908652
36,005,007500,4,842,+40.817595,-073.907200
36,005,007600,1,620,+40.835207,-073.870351
36,005,007600,2,1162,+40.833647,-073.869678
36,005,007600,3,897,+40.831852,-073.869109
36,005,007600,4,1697,+40.833503,-073.867778
36,005,007600,5,1306,+40.833247,-073.864948
36,005,007700,1,1974,+40.819831,-073.904756
36,005,007800,1,1714,+40.829318,-073.853624
36,005,007800,2,2969,+40.828124,-073.851730
36,005,007800,3,1228,+40.831378,-073.856088
36,005,007800,4,1126,+40.830288,-073.854882
36,005,007900,1,1534,+40.817739,-073.903999
36,005,007900,2,804,+40.816550,-073.903441
36,005,007900,3,1078,+40.813786,-073.904438
36,005,007900,4,1608,+40.814524,-073.905885
36,005,007900,5,852,+40.816044,-073.904691
36,005,007900,6,950,+40.816355,-073.906390
36,005,008300,1,1077,+40.816239,-073.902125
36,005,008300,2,685,+40.814964,-073.902128
36,005,008300,3,1269,+40.814266,-073.901420
36,005,008300,4,1255,+40.813167,-073.902087
36,005,008300,5,911,+40.812184,-073.902545
36,005,008300,6,925,+40.812397,-073.900633
36,005,008400,1,845,+40.815454,-073.850462
36,005,008400,2,1742,+40.815740,-073.846833
36,005,008500,1,984,+40.814514,-073.898696
36,005,008500,2,1911,+40.816218,-073.899271
36,005,008500,3,1051,+40.818266,-073.900907
36,005,008500,4,906,+40.816335,-073.898126
36,005,008500,5,1042,+40.815870,-073.897342
36,005,008600,1,959,+40.822103,-073.850326
36,005,008600,2,1602,+40.817718,-073.849305
36,005,008600,3,1584,+40.819828,-073.849789
36,005,008700,1,1204,+40.819640,-073.899392
36,005,008700,2,1488,+40.820220,-073.894731
36,005,008700,3,860,+40.817946,-073.896485
36,005,008700,4,975,+40.820468,-073.896904
36,005,008700,5,1449,+40.821613,-073.896658
36,005,008900,1,1706,+40.819612,-073.892869
36,005,008900,2,1412,+40.817205,-073.895342
36,005,009000,0,0,+40.808924,-073.840699
36,005,009000,1,236,+40.816080,-073.844706
36,005,009000,2,546,+40.819922,-073.837420
36,005,009000,3,734,+40.819935,-073.846661
36,005,009000,4,886,+40.821908,-073.847126
36,005,009000,5,1509,+40.818131,-073.846243
36,005,009200,1,1385,+40.833052,-073.855996
36,005,009200,2,866,+40.832142,-073.849511
36,005,009200,3,1955,+40.832471,-073.852662
36,005,009200,4,1041,+40.833552,-073.849869
36,005,009200,5,1024,+40.830873,-073.849078
36,005,009301,1,1108,+40.813237,-073.886845
36,005,009301,2,1414,+40.812892,-073.889277
36,005,009301,3,1626,+40.815341,-073.887690
36,005,009301,4,1128,+40.817826,-073.889364
36,005,009301,5,135,+40.814979,-073.893034
36,005,009301,6,140,+40.811006,-073.887400
36,005,009302,0,0,+40.800295,-073.880733
36,005,009302,1,503,+40.803338,-073.876473
36,005,009302,2,9,+40.812920,-073.894449
36,005,009600,1,2077,+40.832491,-073.846417
36,005,009600,2,869,+40.836907,-073.844664
36,005,009800,1,1296,+40.825197,-073.851047
36,005,009800,2,1041,+40.825024,-073.847851
36,005,009800,3,1127,+40.826088,-073.845798
36,005,009800,4,847,+40.823811,-073.853879
36,005,009800,5,1592,+40.825555,-073.854281
36,005,011000,0,0,+40.807177,-073.828216
36,005,011000,1,0,+40.816460,-073.832653
36,005,011502,1,1935,+40.819804,-073.887447
36,005,011502,2,1467,+40.817913,-073.887502
36,005,011502,3,994,+40.818033,-073.885941
36,005,011701,1,1548,+40.815924,-073.886173
36,005,011701,2,6,+40.810407,-073.881071
36,005,011702,0,0,+40.804692,-073.868519
36,005,011702,1,0,+40.809736,-073.875294
36,005,011800,0,0,+40.804324,-073.787948
36,005,011800,1,2640,+40.812136,-073.802935
36,005,011800,2,1226,+40.812924,-073.808754
36,005,011800,3,1458,+40.817005,-073.811741
36,005,011900,1,2099,+40.822869,-073.891078
36,005,011900,2,1044,+40.823540,-073.888892
36,005,011900,3,746,+40.824138,-073.890034
36,005,011900,4,853,+40.822156,-073.889874
36,005,011900,5,961,+40.824277,-073.887902
36,005,012101,1,1462,+40.827835,-073.888008
36,005,012101,2,1857,+40.828321,-073.889739
36,005,012102,1,1616,+40.825897,-073.888218
36,005,012300,1,1992,+40.831423,-073.891801
36,005,012300,2,1534,+40.830858,-073.889137
36,005,012300,3,1193,+40.829556,-073.886797
36,005,012300,4,0,+40.829569,-073.885999
36,005,012300,5,18,+40.829360,-073.884793
36,005,012300,6,29,+40.825769,-073.884920
36,005,012500,1,2555,+40.828214,-073.892813
36,005,012500,2,1584,+40.829526,-073.895016
36,005,012701,1,1218,+40.826152,-073.890254
36,005,012701,2,966,+40.825339,-073.893504
36,005,012901,1,1802,+40.823096,-073.897666
36,005,012901,2,3121,+40.821993,-073.900159
36,005,013000,1,1198,+40.819097,-073.814311
36,005,013100,1,1444,+40.827055,-073.896820
36,005,013100,2,1239,+40.826728,-073.899677
36,005,013100,3,1704,+40.825051,-073.898131
36,005,013100,4,1003,+40.824974,-073.895847
36,005,013200,0,0,+40.809273,-073.818551
36,005,013200,1,1145,+40.814760,-073.825341
36,005,013200,2,1042,+40.813294,-073.825089
36,005,013200,3,1452,+40.815625,-073.817276
36,005,013200,4,1447,+40.818333,-073.818607
36,005,013200,5,1566,+40.815530,-073.821472
36,005,013300,1,2070,+40.824001,-073.904030
36,005,013300,2,1678,+40.822545,-073.902032
36,005,013300,3,958,+40.822040,-073.904020
36,005,013300,4,1358,+40.822349,-073.905338
36,005,013500,1,781,+40.827344,-073.902351
36,005,013500,2,1751,+40.825693,-073.902962
36,005,013500,3,1469,+40.828526,-073.900367
36,005,013800,0,0,+40.821734,-073.790999
36,005,013800,1,1862,+40.823187,-073.809545
36,005,013800,2,1198,+40.820154,-073.807402
36,005,014100,1,2048,+40.824611,-073.913732
36,005,014100,2,2381,+40.823561,-073.909450
36,005,014100,3,2915,+40.823543,-073.913739
36,005,014300,1,1898,+40.827320,-073.912767
36,005,014400,1,298,+40.822105,-073.828095
36,005,014400,2,886,+40.823276,-073.825602
36,005,014400,3,661,+40.821721,-073.824918
36,005,014400,4,1071,+40.822118,-073.822805
36,005,014400,5,2026,+40.818910,-073.823031
36,005,014400,6,1104,+40.821121,-073.820693
36,005,014500,1,2507,+40.830902,-073.905132
36,005,014500,2,1694,+40.832848,-073.908358
36,005,014500,3,1163,+40.832235,-073.906473
36,005,014500,4,1691,+40.830588,-073.907279
